Rank,Name,Speed,Place,Opened Date,Length,Height
1st,Formula Rossa,149.1,Ferrari World Abu Dhabi,2010-11-04,6561.7,170.6
2nd,Kingda Ka,128,Six Flags Great Adventure,2005-05-21,3118,456
*,Top Thrill Dragster,120,Cedar Point,2021-08,2800,420
3rd,Red Force,111.8,Ferrari Land,2017-04-07,2887.2,367.3
*,Do-Dodonpa,111.8,Fuji-Q Highland,2021-08-13,4081.3,160.8
4th,Superman: Escape from Krypton,100,Six Flags Magic Mountain,2011-03-19,1235,1235
*,Ring Racer,99.4,NÃ¼rburgring,2013-11-04,3976.3,123
5th,Steel Dragon 2000,95,Nagashima Spa Land,2006-09-03,8133.2,318.3
6th,Millennium Force,93,Cedar Point,2000-05-13,6595,310
7th,Leviathan,92,Canada's Wonderland,2012-05-06,5486,306
8th,Orion,91,Kings Island,2020-07-02,5321,287
9th,Intimidator 305,90,Kings Dominion,2010-04-02,5100,305
10th,Hyperion,88.2,Energylandia,2018-07-14,4757.2,252.6
